Fecha,Dia,Mes,Gastos,Efectivo,Tarjeta,Nequi,Daviplata,Transferencia,Total_Ventas,Utilidad_Neta,Nota,Suma_Metodos_Pago,Diferencia_Ventas_vs_Metodos,Utilidad_Calculada,Diferencia_Utilidad
2025-01-01,Miércoles,Enero 2025,0,0,0,0,0,0,0,0,,0,0,0,0
2025-01-02,Jueves,Enero 2025,0,0,0,0,0,0,0,0,,0,0,0,0
2025-01-03,Viernes,Enero 2025,404950,0,0,150700,0,187200,337900,-67050,,337900,0,-67050,0
2025-01-04,Sábado,Enero 2025,266900,616000,749600,356200,49200,103400,1874400,1607500,,1874400,0,1607500,0
2025-01-05,Domingo,Enero 2025,0,0,0,0,0,0,0,0,,0,0,0,0
2025-01-06,Lunes,Enero 2025,0,0,0,0,0,0,0,0,,0,0,0,0
2025-01-07,Martes,Enero 2025,596050,404500,62000,0,0,102400,568900,-27150,,568900,0,-27150,0
2025-01-08,Miércoles,Enero 2025,177750,99000,78600,0,75900,0,253500,75750,,253500,0,75750,0
2025-01-09,Jueves,Enero 2025,214200,355100,81400,0,98400,423900,958800,744600,,958800,0,744600,0
2025-01-10,Viernes,Enero 2025,205700,667000,277750,39700,0,223500,1207950,1002250,,1207950,0,1002250,0
2025-01-11,Sábado,Enero 2025,113300,629800,185800,0,0,0,815600,702300,,815600,0,702300,0
2025-01-12,Domingo,Enero 2025,0,0,0,0,0,0,0,0,,0,0,0,0
2025-01-13,Lunes,Enero 2025,92800,78700,0,0,0,0,78700,-14100,,78700,0,-14100,0
2025-01-14,Martes,Enero 2025,3400,96800,294800,0,0,0,391600,388200,,391600,0,388200,0
2025-01-15,Miércoles,Enero 2025,158950,432600,140200,0,0,0,572800,413850,,572800,0,413850,0
2025-01-16,Jueves,Enero 2025,208600,262600,252500,115000,0,0,630100,421500,,630100,0,421500,0
2025-01-17,Viernes,Enero 2025,408700,131500,539500,53700,0,0,724700,316000,REVISAR GATOS,724700,0,316000,0
2025-01-18,Sábado,Enero 2025,254300,282300,455100,0,28700,0,766100,511800,,766100,0,511800,0
2025-01-19,Domingo,Enero 2025,268000,352000,128000,256000,0,0,736000,468000,BRUNCH,736000,0,468000,0
2025-01-20,Lunes,Enero 2025,38500,76400,0,37000,0,110000,223400,184900,,223400,0,184900,0
2025-01-21,Martes,Enero 2025,127470,371750,176500,0,71700,83050,703000,575530,,703000,0,575530,0
2025-01-22,Miércoles,Enero 2025,160000,109600,288500,179600,0,60500,638200,478200,,638200,0,478200,0
2025-01-23,Jueves,Enero 2025,215150,216450,85800,93000,0,0,395250,180100,,395250,0,180100,0
2025-01-24,Viernes,Enero 2025,257600,682600,255100,170400,0,0,1108100,850500,,1108100,0,850500,0
2025-01-25,Sábado,Enero 2025,338900,373600,846600,49200,0,75500,1344900,1006000,,1344900,0,1006000,0
2025-01-26,Domingo,Enero 2025,0,0,0,0,0,0,0,0,,0,0,0,0
2025-01-27,Lunes,Enero 2025,282950,71400,229000,68400,0,0,368800,85850,,368800,0,85850,0
2025-01-28,Martes,Enero 2025,456350,275400,697550,0,0,0,972950,516600,,972950,0,516600,0
2025-01-29,Miércoles,Enero 2025,479800,71400,229000,68400,0,0,368800,-111000,,368800,0,-111000,0
2025-01-30,Jueves,Enero 2025,14000,767250,49200,49200,0,0,865650,851650,,865650,0,851650,0
2025-01-31,Viernes,Enero 2025,464350,259500,1206550,127100,0,35200,1628350,1164000,,1628350,0,1164000,0
2025-02-01,Sábado,Febrero 2025,275500,452000,929200,0,0,0,1381200,1105700,,1381200,0,1105700,0
2025-02-02,Domingo,Febrero 2025,0,0,0,805000,0,0,805000,805000,REVISAR GASTOS,805000,0,805000,0
2025-02-03,Lunes,Febrero 2025,284000,584350,127600,0,0,0,711950,427950,,711950,0,427950,0
2025-02-04,Martes,Febrero 2025,107800,88900,260150,0,0,78600,427650,319850,,427650,0,319850,0
2025-02-05,Miércoles,Febrero 2025,64800,160050,127000,0,0,0,287050,222250,,287050,0,222250,0
2025-02-06,Jueves,Febrero 2025,66850,39700,253700,0,0,0,293400,226550,,293400,0,226550,0
2025-02-07,Viernes,Febrero 2025,0,0,0,0,0,0,0,0,Vacaciones,0,0,0,0
2025-02-08,Sábado,Febrero 2025,0,0,0,0,0,0,0,0,Vacaciones,0,0,0,0
